gender,acNo,age,symbol,incumbent,criminal,slNo,minister,alliance,party,profession,image,assets,name,id,education
Female,34,31,Farmer Carrying Plough,False,0,2,,ntk,NTK,,,₹5.39 L,Swathilakshmi Sekar,90708,Bachelor's Degree
Male,34,64,Two leaves,False,0,3,,nda,AIADMK,,,₹189.00 Cr,Rajasekar. E,90709,Not Specified
Male,34,39,Camera,False,0,4,,others,TAVK,,,₹16.00 L,Gangadurai. K,90710,9th Grade
Male,34,49,Coconut farm,False,0,5,,ajpk,AIPTMMK,,,₹2.58 L,Murugavel. A,90711,Bachelor's Degree
Male,34,46,Whistle,False,0,6,,tvk,TVK,,,₹81.92 L,Mohan Raja.M.G.K,90712,Diploma / ITI
Male,34,46,CCTV Camera,False,0,7,,independent,IND,,,"₹52,000",Ambethkar. S,91989,6th Grade
Male,34,37,Pen drive,False,0,8,,independent,IND,,,"₹10,000",Arun. C,90714,12th Grade (HSC / +2)
Male,34,34,Water tank,False,0,9,,independent,IND,,,"₹52,000",Ezhil. E,90715,10th Grade (SSLC)
Male,34,32,Diesel pump,False,0,10,,independent,IND,,,"₹81,000",Krishnakanth. E,90716,10th Grade (SSLC)
Male,34,39,Diamond,False,0,11,,independent,IND,,,₹nan,Gopikrishna. D,90717,Bachelor's Degree
Male,34,40,Bucket,False,0,12,,independent,IND,,,₹3.06 L,Raja. K,90718,10th Grade (SSLC)
Male,34,31,Matchbox,False,0,13,,independent,IND,,,₹nan,Jegan. M,90719,Not Specified
Female,35,48,Rising sun,False,0,1,,spa,DMK,,,₹24.00 L,S.Amulu Ponmalar,90720,10th Grade (SSLC)
Female,35,44,Two leaves,True,0,2,,nda,AIADMK,,,₹79.53 L,Maragatham Kumaravel.K,90721,Master's Degree
Male,35,36,Elephant,False,0,3,,others,BSP,,,₹8.23 L,Neelam E.Ramkumar,90722,Bachelor's Degree
Male,35,33,Farmer Carrying Plough,False,0,4,,ntk,NTK,,,₹5.16 L,G.Janakiraman,90723,Master's Degree
Female,35,53,Whistle,False,0,5,,tvk,TVK,,,₹74.75 L,Ezhil Katharine Ezhilmalai,90724,Master's Degree
Male,35,39,Coconut farm,False,0,6,,ajpk,AIPTMMK,,,₹1.91 L,R.Sugan,90725,Diploma / ITI
Male,35,32,Camera,False,0,7,,others,TAVK,,,₹3.29 L,S.Punniyakotti,93640,7th Grade
Male,35,62,Ship,False,0,8,,independent,IND,,,"₹12,000",M.Kadirvel,90727,Master's Degree
Female,35,49,Diamond,False,0,9,,independent,IND,,,₹5.55 L,Ranjitham.M,90728,10th Grade (SSLC)
Male,36,71,Rising sun,True,0,1,,spa,DMK,,,₹nan,Sundar.K,90729,Bachelor's Degree
Male,36,56,Farmer Carrying Plough,False,0,2,,ntk,NTK,,,₹42.76 L,Maram Masilamani.B.S,90730,Master's Degree
Male,36,44,Balloon,False,0,3,,others,DMSK,,,₹1.60 Cr,Sivakumar.A,90731,Master's Degree
Male,36,46,Mango,False,0,4,,nda,PMK,,,₹41.59 L,Mageshkumar.P,90732,Bachelor's Degree
Male,36,43,Whistle,False,0,5,,tvk,TVK,,,₹6.91 Cr,Munirathinam.J,90733,Bachelor's Degree
Male,36,54,Camera,False,0,6,,others,TAVK,,,₹6.30 L,Jakirusan.D,90734,Primary (Up to 4th)
Male,36,28,Wallet,False,0,7,,independent,IND,,,₹2.37 L,Anbu.V,90735,Bachelor's Degree
Male,36,28,Flute,False,0,8,,independent,IND,,,₹9.52 L,Kamalakannan.K,90736,9th Grade
Male,36,36,Batsman,False,0,9,,independent,IND,,,₹4.46 L,Gunasekar.V,90737,10th Grade (SSLC)
Male,36,59,Matchbox,False,0,10,,independent,IND,,,₹1.16 L,Cittibabu.R,90738,8th Grade
Male,36,57,Water melon,False,0,11,,independent,IND,,,₹4.11 L,Devarajan.C,90739,9th Grade
Male,36,68,Hand cart,False,0,12,,independent,IND,,,"₹17,000",Deventhiramoorthy.S,90740,6th Grade
Male,36,29,Road roller,False,0,13,,independent,IND,,,₹21.30 L,Magesh Kumar.T,90741,Master's Degree
Female,36,37,Ship,False,0,14,,independent,IND,,,"₹30,000",Maheswari.J,90742,Not Specified
Male,37,57,Two leaves,False,0,1,,nda,AIADMK,,,"₹71,270",V.Somasundaram,90743,5th Grade
Female,37,38,Rising sun,False,0,2,,spa,DMK,,,₹nan,Nithya Sugumar,90744,12th Grade (HSC / +2)
Female,37,52,Farmer Carrying Plough,False,0,3,,ntk,NTK,,,₹44.31 L,Vetriselvi,90745,Master's Degree
Male,37,50,Whistle,False,0,4,,tvk,TVK,,,₹1.64 Cr,R.V.Ranjithkumar,90746,Bachelor's Degree
Male,37,31,Jackfruit,False,0,5,,others,ACDP,,,₹nan,M.Nandhakumar,90747,Not Specified
Male,37,36,Camera,False,0,6,,others,TAVK,,,₹88.90 L,V.Naresh,90748,9th Grade
Male,37,46,Coconut farm,False,0,7,,ajpk,AIPTMMK,,,₹1.98 L,P.Venkatesan,90749,Diploma / ITI
Male,37,43,Bat,False,0,8,,independent,IND,,,"₹70,149",M.Somasundaram,90750,8th Grade
Male,37,43,Water melon,False,0,9,,independent,IND,,,"₹70,149",V.Somasundaram,90751,8th Grade
Male,37,55,Balloon,False,0,10,,independent,IND,,,₹nan,Gnanamoorthy,90752,Not Specified
Male,37,53,Bucket,False,0,11,,independent,IND,,,"₹31,141",C.Dillibabu,90753,9th Grade
Male,37,26,Diamond,False,0,12,,independent,IND,,,"₹40,329",E.Dhakshnamoorthy,90754,Diploma / ITI
Male,37,37,Pressure cooker,False,0,13,,independent,IND,,,₹49.31 L,G.Babu,90755,6th Grade
Male,37,28,Ring,False,0,14,,independent,IND,,,₹9.31 L,M.Balaji,90756,Bachelor's Degree
Male,37,45,Ship,False,0,15,,independent,IND,,,₹16.36 L,M.Meganathan,90757,10th Grade (SSLC)
Female,38,56,Pot,False,0,1,,spa,VCK,,,₹8.66 Cr,Ezhil Caroline,90758,Bachelor's Degree
Male,38,47,Elephant,False,0,2,,others,BSP,,,"₹89,000",P.Sudhakar,90759,12th Grade (HSC / +2)
Male,38,62,Two leaves,True,0,3,,nda,AIADMK,,,₹34.69 L,S.Ravi,90760,Bachelor's Degree
Male,38,29,Farmer Carrying Plough,False,0,4,,ntk,NTK,,,₹1.05 Cr,K.Rajkumar,90761,10th Grade (SSLC)
Male,38,52,Whistle,False,0,5,,tvk,TVK,,,₹3.33 Cr,V.Gandhiraj,90762,Bachelor's Degree
Male,38,54,Camera,False,0,6,,others,TAVK,,,"₹20,000",N.Lakshmipathy,90763,Bachelor's Degree
Male,38,52,Gas cylinder,False,0,7,,ajpk,AJPK,,,₹nan,Vetrivel. M,90764,Bachelor's Degree
Male,38,49,Balloon,False,0,8,,independent,IND,,,₹2.56 L,P.Govindaraj,90765,12th Grade (HSC / +2)
Male,38,38,Stapler,False,0,9,,independent,IND,,,₹1.83 L,M.Santhanam,90766,Not Specified
Male,38,29,Road roller,False,0,10,,independent,IND,,,₹1.55 L,N.Praveenkumar,90767,Bachelor's Degree
Male,38,33,Pendulum,False,0,11,,independent,IND,,,₹4.33 L,M.Manikandan,90768,Bachelor's Degree
Male,38,44,Ship,False,0,12,,independent,IND,,,"₹6,000",T.Muralidharan,90769,Bachelor's Degree
Male,38,65,Scissors,False,0,13,,independent,IND,,,"₹22,305",G.Mohan,90770,10th Grade (SSLC)
Male,39,36,Farmer Carrying Plough,False,0,1,,ntk,NTK,,,"₹23,000",A.Ashok Kumar,90771,Bachelor's Degree
Male,39,41,Elephant,False,0,2,,others,BSP,,,₹2.11 L,M.Giridharan,90772,Diploma / ITI
Male,39,70,Hand,True,0,3,,spa,INC,,,₹92.48 Cr,A.M.Munirathinam,90773,10th Grade (SSLC)
Male,39,32,Whistle,False,0,4,,tvk,TVK,,,₹75.05 L,G.Kapil,90774,Not Specified
Male,39,51,Mango,False,0,5,,nda,PMK,,,₹60.10 L,K.Saravanan,90775,Bachelor's Degree
Male,39,47,Camera,False,0,6,,others,TAVK,,,₹28.48 L,Sudhakar.K,90776,Bachelor's Degree
Male,39,55,Gas cylinder,False,0,7,,others,VBA,,,₹25.80 L,S.Senthilkumar,90777,12th Grade (HSC / +2)
Male,39,33,Pestle and mortar,False,0,8,,others,VTVTK,,,₹2.95 L,R.Vinoth,90778,10th Grade (SSLC)
Male,39,36,Grapes,False,0,9,,independent,IND,,,₹3.05 L,A.Anandan,90779,Bachelor's Degree
Male,39,41,Batsman,False,0,10,,independent,IND,,,₹1.43 L,S.Ilayaraja,90780,Bachelor's Degree
Male,39,33,Rubber stamp,False,0,11,,independent,IND,,,₹2.34 L,Kaviyarasan.Subiramani,90781,Bachelor's Degree
Male,39,50,Truck,False,0,12,,independent,IND,,,₹60.45 L,N.Gopalakrishnan,90782,12th Grade (HSC / +2)
Male,39,50,T.V.Remote,False,0,13,,independent,IND,,,₹10.61 L,V.Sadhasivam,90783,Diploma / ITI
Male,39,44,Iron,False,0,14,,independent,IND,,,₹3.92 L,Santhanam.R,90784,6th Grade
Male,39,33,Scissors,False,0,15,,independent,IND,,,"₹40,000",R.Sethupathi,90785,Not Specified
Male,39,33,Diamond,False,0,16,,independent,IND,,,₹3.62 L,M.Dinesh,90786,10th Grade (SSLC)
Male,39,43,Stapler,False,0,17,,independent,IND,,,₹3.02 L,A.Palani,90787,10th Grade (SSLC)
Male,39,48,Capsicum,False,0,18,,independent,IND,,,₹7.30 L,N.Mani,90788,10th Grade (SSLC)
Male,39,49,Television,False,0,19,,independent,IND,,,"₹20,000",K.Munisamy,90789,10th Grade (SSLC)
Male,39,56,Bucket,False,0,20,,independent,IND,,,"₹80,000",V.Munirathinam,90790,10th Grade (SSLC)
Male,39,54,Flute,False,0,21,,independent,IND,,,"₹45,000",T.Rajendran,90791,10th Grade (SSLC)
Male,39,42,Water melon,False,0,22,,independent,IND,,,₹4.23 L,M.Vijayan,90792,6th Grade
Male,39,34,Matchbox,False,0,23,,independent,IND,,,₹10.86 L,V.Hemachandiran,90793,Diploma / ITI
Male,40,49,Farmer Carrying Plough,False,0,1,,ntk,NTK,,,₹1.21 Cr,S.Thirukkumaran,90794,Master's Degree
Male,40,87,Rising sun,True,0,2,True,spa,DMK,,,₹8.03 Cr,Duraimurugan,90795,Master's Degree
Male,40,53,Elephant,False,0,3,,others,BSP,,,₹6.33 L,J.Ramesh,90796,10th Grade (SSLC)
Male,40,63,Two leaves,False,0,4,,nda,AIADMK,,,₹8.68 Cr,V.Ramu,90797,Bachelor's Degree
Female,40,31,Ship,False,0,5,,others,TMMDK,,,₹10.50 L,Indu .W,90798,Not Specified
Male,40,45,Gas cylinder,False,0,6,,others,IDMK,,,"₹12,000",Ganesan .P,90799,5th Grade
Male,40,73,Coconut farm,False,0,7,,ajpk,AIPTMMK,,,₹10.30 L,V.Chandran,90800,10th Grade (SSLC)
Male,40,52,Whistle,False,0,8,,tvk,TVK,,,₹23.80 Cr,Dr M Sudhakar,90801,Not Specified
Male,40,32,Ring,False,0,9,,others,TNIK,,,₹nan,S.Balaji,90802,Not Specified
Male,40,70,Electric pole,False,0,10,,independent,IND,,,₹1.12 L,S.Raman,90803,Diploma / ITI
Male,40,44,Jackfruit,False,0,11,,independent,IND,,,₹43.26 L,Saravanan .D,90804,12th Grade (HSC / +2)
Male,40,44,Gramophone,False,0,12,,independent,IND,,,₹5.04 L,M.Suthakar,90805,10th Grade (SSLC)
Male,40,53,Bat,False,0,13,,independent,IND,,,"₹10,000",Dhanasekar,90806,10th Grade (SSLC)
Male,40,45,Diamond,False,0,14,,independent,IND,,,₹14.20 L,Dhananchezhiyan,90807,10th Grade (SSLC)
Male,40,33,Peas,False,0,15,,independent,IND,,,₹10.69 L,D.Ramu,90808,Diploma / ITI
Male,41,80,Rising sun,True,0,1,,spa,DMK,,,₹91.04 Cr,R.Gandhi,90809,10th Grade (SSLC)
Male,41,55,Lotus,False,0,2,,nda,BJP,,,₹2.85 Cr,V.M.Karthikeyan,90810,Bachelor's Degree
Female,41,27,Farmer Carrying Plough,False,0,3,,ntk,NTK,,,₹41.65 L,Thaarikha Salman,90811,Bachelor's Degree
Female,41,28,Elephant,False,0,4,,others,BSP,,,₹10.42 L,J.Jeniferjanet,90812,Bachelor's Degree
Female,41,40,Whistle,False,0,5,,tvk,TVK,,,"₹25,000",Thahira,90813,10th Grade (SSLC)
Male,41,46,Ginger,False,0,6,,others,ACDP,,,₹18.54 L,S.Munisamy,90814,Bachelor's Degree
Male,41,33,Camera,False,0,7,,others,TAVK,,,₹7.81 L,N.Viswanathan,90815,10th Grade (SSLC)
Male,41,82,Diamond,False,0,8,,independent,IND,,,₹80.75 L,J.Hassain,90816,Bachelor's Degree
Male,41,53,Tea filter,False,0,9,,independent,IND,,,₹nan,K.Sakthivel Nathan,90817,12th Grade (HSC / +2)
Male,41,42,Frying pan,False,0,10,,independent,IND,,,₹nan,N.Sugumar,90818,8th Grade
Male,41,47,Ship,False,0,11,,independent,IND,,,₹nan,V.Suresh,90819,6th Grade
Male,41,49,CCTV Camera,False,0,12,,independent,IND,,,₹90.25 L,V.Dharmendiran,90820,Bachelor's Degree
Male,41,42,Matchbox,False,0,13,,independent,IND,,,₹69.98 L,A.Nareshkumar,90821,7th Grade
Male,41,39,Gas cylinder,False,0,14,,independent,IND,,,₹2.46 L,J.Mohan,90822,12th Grade (HSC / +2)
Male,41,70,Pestle and mortar,False,0,15,,independent,IND,,,₹78.40 L,S.Jayaprakash,90823,8th Grade
Female,42,32,Farmer Carrying Plough,False,0,1,,ntk,NTK,,,₹nan,Archana Narasimman,90824,Not Specified
Male,42,47,Rising sun,True,0,2,,spa,DMK,,,₹6.09 Cr,J.L.Eswarappan,90825,Bachelor's Degree
Male,42,65,Two leaves,False,0,3,,nda,AIADMK,,,₹23.51 Cr,S.M.Sukumar,90826,10th Grade (SSLC)
Male,42,33,Elephant,False,0,4,,others,BSP,,,"₹5,554",M.Vasanthakumar,90827,Bachelor's Degree
Male,42,54,Diamond,False,0,5,,others,VBA,,,₹1.55 L,V.Gandhi,90828,10th Grade (SSLC)
Male,42,56,Gas cylinder,False,0,6,,ajpk,AJPK,,,₹15.88 L,S.P.Shanmugam,90829,Bachelor's Degree
Male,42,42,Ship,False,0,7,,others,ACDP,,,₹3.38 L,V.Seetharaman,90830,10th Grade (SSLC)
Male,42,41,Whistle,False,0,8,,tvk,TVK,,,₹61.00 L,G.Vijay Mohan,91792,5th Grade
Male,42,54,Camera,False,0,9,,others,TAVK,,,₹28.41 L,P.Venkatesan,90832,5th Grade
Female,42,44,Flute,False,0,10,,independent,IND,,,₹70.20 L,R.Indhumathi,90833,12th Grade (HSC / +2)
Male,42,44,Water melon,False,0,11,,independent,IND,,,"₹40,260",Eswarappan.M,90834,Not Specified
Female,42,62,Grapes,False,0,12,,independent,IND,,,₹nan,V.Shanthi,90835,9th Grade
Male,42,47,Door bell,False,0,13,,independent,IND,,,"₹60,000",K.Manikandan,90836,10th Grade (SSLC)
Male,42,30,Road roller,False,0,14,,independent,IND,,,"₹75,000",A.Vijay,90837,Not Specified
Male,43,48,Two leaves,False,0,1,,nda,AIADMK,,,₹2.22 Cr,S R K Appu,90838,Bachelor's Degree
Male,43,65,Rising sun,False,0,2,,spa,DMK,,,₹29.32 Cr,P.Karthikeyan,90839,5th Grade
Female,43,25,Farmer Carrying Plough,False,0,3,,ntk,NTK,,,₹8.57 L,A.Soniya,90840,Bachelor's Degree
Male,43,56,Camera,False,0,4,,others,TAVK,,,₹29.38 L,S.M.Irshad,90841,8th Grade
Male,43,56,Laptop,False,0,5,,others,SFRBC,,,₹18.40 L,S.Giridhara Prasad,90842,Bachelor's Degree
Male,43,74,Bangles,False,0,6,,others,APP,,,₹30.10 L,K.Muniyappan,90843,Master's Degree
Male,43,52,Gas cylinder,False,0,7,,others,VKVIP,,,₹23.35 L,K.M.Vinaayagam,90844,Bachelor's Degree
Female,43,41,Spanner,False,0,8,,others,NIP,,,"₹50,013",K.Vimala,90845,Not Specified
Male,43,37,Whistle,False,0,9,,tvk,TVK,,,₹2.12 Cr,M.M.Vinoth Kannan,90846,10th Grade (SSLC)
Male,43,34,Pan,False,0,10,,others,AMGRDMK,,,"₹61,282",M.Vinothkumar,90847,Diploma / ITI
Male,43,25,Binoculars,False,0,11,,others,AIJMK,,,"₹46,500",S.Appu,90848,Bachelor's Degree
Male,43,35,CCTV Camera,False,0,12,,independent,IND,,,₹1.02 L,S.Madhan Kumar,90849,Diploma / ITI
Male,43,31,Flute,False,0,13,,independent,IND,,,₹12.31 L,S.Rajkamal,90850,Bachelor's Degree
Male,43,40,Bat,False,0,14,,independent,IND,,,₹5.58 L,M.Loganathan,90851,Diploma / ITI
Male,43,34,Water melon,False,0,15,,independent,IND,,,₹10.93 L,U.Vijaya Kumar,90852,Diploma / ITI
Male,44,57,Rising sun,True,0,1,,spa,DMK,,,₹nan,A.P.Nandakumar,90853,12th Grade (HSC / +2)
Male,44,29,Farmer Carrying Plough,False,0,2,,ntk,NTK,,,₹18.54 L,M.Ravikumar,90854,Not Specified
Male,44,56,Two leaves,False,0,3,,nda,AIADMK,,,₹5.28 Cr,D.Velazhagan,90855,10th Grade (SSLC)
Male,44,47,Gas Stove,False,0,4,,others,NAMK,,,₹2.65 L,R.Saravanan,93091,7th Grade
Male,44,44,Camera,False,0,5,,others,TAVK,,,₹2.50 L,V.Vinothkanna,90857,10th Grade (SSLC)
Male,44,53,Green chilli,False,0,6,,ajpk,AJPK,,,"₹50,396",V.S.Venkatesh,90858,Master's Degree
Male,44,46,Whistle,False,0,7,,tvk,TVK,,,₹68.44 L,R.Velmurugan,90859,9th Grade
Male,44,42,Gas cylinder,False,0,8,,others,PT,,,"₹60,000",P.Jayaseelan,90860,Bachelor's Degree
Male,44,40,Balloon,False,0,9,,independent,IND,,,₹nan,E.Suresh,90861,Bachelor's Degree
Male,44,65,Bat,False,0,10,,independent,IND,,,₹13.50 L,S.Selvamoorthy,90862,Not Specified
Male,44,38,Electric pole,False,0,11,,independent,IND,,,₹1.77 L,M.Nandha Kumar,90863,10th Grade (SSLC)
Male,44,55,Iron,False,0,12,,independent,IND,,,₹1.59 L,K.Manoharan,90864,8th Grade
Male,44,43,Water tank,False,0,13,,independent,IND,,,"₹1,000",R.Ramesh,90865,Not Specified
Female,45,50,Rising sun,False,0,1,,spa,DMK,,,₹3.67 Cr,Rajeswari. R,90866,Not Specified
Female,45,35,Farmer Carrying Plough,False,0,2,,ntk,NTK,,,"₹35,498",Kalaiyenthiri. R,90867,Bachelor's Degree
Male,45,59,Two leaves,False,0,3,,nda,AIADMK,,,₹63.97 L,Jegan Moorthy. M,90868,Not Specified
Male,45,67,Coconut farm,False,0,4,,ajpk,AIPTMMK,,,₹27.05 L,Anandalai Thangaraj. M,90869,Master's Degree
Male,45,34,Whistle,False,0,5,,tvk,TVK,,,₹1.17 Cr,Thenral Kumar. E,90870,Bachelor's Degree
Male,45,51,Camera,False,0,6,,others,TAVK,,,₹nan,Raja. M,90871,10th Grade (SSLC)
Male,45,52,Bucket,False,0,7,,independent,IND,,,"₹55,000",Kumaresan. L,90872,10th Grade (SSLC)
Male,45,37,Almirah,False,0,8,,independent,IND,,,"₹32,000",Sathish. A,90873,Bachelor's Degree
Male,45,36,Batsman,False,0,9,,independent,IND,,,₹nan,Murugan. K.P,90874,Not Specified
Male,45,37,Brush,False,0,10,,independent,IND,,,"₹55,000",Jayashankar. J,90875,9th Grade
Male,45,29,Frying pan,False,0,11,,independent,IND,,,"₹55,000",Jaya Bharath. J,90876,Bachelor's Degree
Male,46,73,Farmer Carrying Plough,False,0,1,,ntk,NTK,,,₹27.08 L,J.Emalan,90877,Master's Degree
Female,46,42,Two leaves,False,0,2,,nda,AIADMK,,,₹47.99 L,Paritha Purushothaman.G,90878,Master's Degree
Male,46,46,Nagara,False,0,3,,spa,DMDK,,,₹57.84 L,K.B.Pradap,90879,Bachelor's Degree
Male,46,34,Elephant,False,0,4,,others,BSP,,,₹3.66 L,T.Poovarasan,90880,10th Grade (SSLC)
Female,46,40,Gas cylinder,False,0,5,,others,PT,,,₹2.13 L,K.Asha,90881,12th Grade (HSC / +2)
Female,46,37,Whistle,False,0,6,,tvk,TVK,,,₹10.01 L,K.Sindu,90882,Master's Degree
Female,46,52,Coconut farm,False,0,7,,ajpk,AIPTMMK,,,₹20.81 L,K.Thabithal,90883,Master's Degree
Male,46,49,Diamond,False,0,8,,independent,IND,,,₹7.26 L,Subakaran.A,90884,Bachelor's Degree
Female,46,46,Electric pole,False,0,9,,independent,IND,,,₹20.52 L,M.Sumathi,90885,10th Grade (SSLC)
Male,46,39,Matchbox,False,0,10,,independent,IND,,,₹10.50 L,Bharath Mathiruban,90886,Bachelor's Degree
Male,46,47,Bat,False,0,11,,independent,IND,,,"₹52,000",A.Rajesh,90887,10th Grade (SSLC)
Male,47,65,Elephant,False,0,1,,others,BSP,,,₹nan,Subramani.P,90888,12th Grade (HSC / +2)
Male,47,42,Two leaves,False,0,2,,nda,AIADMK,,,₹4.99 Cr,Sendhil Kumar.G,90889,Master's Degree
Male,47,33,Farmer Carrying Plough,False,0,3,,ntk,NTK,,,₹11.69 L,Murugesan.G,90890,Diploma / ITI
Male,47,34,Gas cylinder,False,0,4,,ajpk,AJPK,,,₹27.01 L,Anbarasu.P,90891,Bachelor's Degree
Female,47,66,Pressure cooker,False,0,5,,others,MAK,,,"₹25,000",Sundarammal,90892,Not Specified
Male,47,64,Ladder,False,0,6,,spa,IUML,,,₹1.67 Cr,Syed Farooq Basha Ssb,90893,5th Grade
