constituency,party,slNo,criminal,incumbent,symbol,name,gender,id,education,age,image,profession,assets,minister,alliance,acNo
Maduravoyal,IND,15,0,False,Bangles,M.Balasubramanian,Male,90101,Master's Degree,50,,,₹72.54 L,,independent,7
Maduravoyal,IND,16,0,False,Electric pole,S.Benjamin Moses,Male,90102,Master's Degree,38,,,"₹10,000",,independent,7
Maduravoyal,IND,17,0,False,Stethoscope,Ponmuthu Ramesh,Male,90103,9th Grade,62,,,"₹14,729",,independent,7
Maduravoyal,IND,18,0,False,Bucket,N.A.Mani,Male,90104,Bachelor's Degree,30,,,₹16.36 L,,independent,7
Maduravoyal,IND,19,0,False,Football player,R.Yuvaraj,Male,90105,Bachelor's Degree,27,,,"₹26,092",,independent,7
Maduravoyal,IND,20,0,False,Mixee,Vignesh Nandagopal,Male,90106,Master's Degree,31,,,₹23.06 L,,independent,7
Maduravoyal,IND,21,0,False,Cake,M.James,Male,90107,10th Grade (SSLC),59,,,₹2.63 L,,independent,7
Ambattur,NTK,1,0,False,Farmer Carrying Plough,Silambarasan,Male,90108,Bachelor's Degree,35,,,"₹87,340",,ntk,8
Ambattur,BSP,2,0,False,Elephant,Dr. J.Sailas,Female,90109,Bachelor's Degree,42,,,₹17.33 L,,others,8
Ambattur,DMK,3,0,False,Rising sun,Dr A.P.Poornima,Female,90110,Not Specified,33,,,₹1.72 Cr,,spa,8
Ambattur,NJP,4,0,False,Sitar,A.Kalyanasundaram,Male,90111,10th Grade (SSLC),70,,,₹6.30 L,,others,8
Ambattur,PMK,5,0,False,Mango,K.N.Sekar,Male,90112,8th Grade,55,,,₹14.41 Cr,,nda,8
Ambattur,TVK,6,0,False,Whistle,Balamurugan.G,Male,90113,Diploma / ITI,44,,,₹1.17 Cr,,tvk,8
Ambattur,ISP,7,0,False,Diamond,V.Ramkumar,Male,90114,Bachelor's Degree,52,,,₹9.44 L,,others,8
Ambattur,TAVK,8,0,False,Camera,Rajkumar,Male,90115,9th Grade,30,,,₹nan,,others,8
Ambattur,NIP,9,0,False,Spanner,D.Jeyaganesh,Male,90116,10th Grade (SSLC),46,,,₹80.19 L,,others,8
Ambattur,IND,10,0,False,Gas cylinder,M.S.Arumugam,Male,90117,6th Grade,61,,,₹6.62 L,,independent,8
Ambattur,IND,11,0,False,Water tank,P.Arumugam,Male,90118,Bachelor's Degree,50,,,₹2.56 L,,independent,8
Ambattur,IND,12,0,False,Bangles,G.Sampath,Male,90119,Bachelor's Degree,65,,,₹nan,,independent,8
Ambattur,IND,13,0,False,Air conditioner,K.Sekar,Male,90120,8th Grade,55,,,₹4.24 L,,independent,8
Ambattur,IND,14,0,False,Dish antenna,G.P.Sekar,Male,90121,4th Grade,61,,,₹1.46 L,,independent,8
Ambattur,IND,15,0,False,Batsman,Palani,Male,90122,Diploma / ITI,46,,,₹30.13 L,,independent,8
Ambattur,IND,16,0,False,CCTV Camera,R.Balamurugan,Male,90123,10th Grade (SSLC),49,,,₹1.39 L,,independent,8
Ambattur,IND,17,0,False,Television,Dr. S.Praveen,Male,90124,Master's Degree,37,,,₹4.51 Cr,,independent,8
Ambattur,IND,18,0,False,Carrom board,D.Pushpa,Female,90125,7th Grade,50,,,₹20.26 L,,independent,8
Ambattur,IND,19,0,False,Football player,S.Madhavan,Male,90126,Bachelor's Degree,28,,,₹6.28 L,,independent,8
Ambattur,IND,20,0,False,Telephone,D.K.Meshack Kirubakaran,Male,90127,Bachelor's Degree,38,,,₹1.07 L,,independent,8
